Name,Product_ID,Date,Sales,Revenue,EndOfDayStock,prev_stock
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG252,20725,2010-04-01,124,184.6,100661,100785.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG253,20725,2010-04-06,32,52.8,100629,100661.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG254,20725,2010-04-07,50,82.5,100579,100629.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG255,20725,2010-04-08,140,211.0,100439,100579.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG256,20725,2010-04-09,43,70.95,100396,100439.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG257,20725,2010-04-11,32,52.8,100364,100396.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG258,20725,2010-04-12,13,21.45,100351,100364.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG259,20725,2010-04-13,126,187.9,100225,100351.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG260,20725,2010-04-14,40,66.0,100185,100225.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG261,20725,2010-04-15,32,52.8,100153,100185.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG262,20725,2010-04-16,224,329.6,99929,100153.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG263,20725,2010-04-18,42,64.5,99887,99929.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG264,20725,2010-04-19,98,149.7,99789,99887.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG265,20725,2010-04-20,54,81.9,99735,99789.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG266,20725,2010-04-21,12,19.8,99723,99735.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG267,20725,2010-04-22,51,84.15,99672,99723.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG268,20725,2010-04-23,30,49.5,99642,99672.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG269,20725,2010-04-25,33,54.45,99609,99642.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG270,20725,2010-04-26,22,36.3,99587,99609.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG271,20725,2010-04-27,90,148.5,99497,99587.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG272,20725,2010-04-28,60,99.0,99437,99497.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG273,20725,2010-04-29,50,82.5,99387,99437.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG274,20725,2010-04-30,21,34.65,99366,99387.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG275,20725,2010-05-02,64,105.6,99302,99366.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG276,20725,2010-05-04,80,132.0,99222,99302.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG277,20725,2010-05-05,110,161.5,99112,99222.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG278,20725,2010-05-06,304,461.6,98808,99112.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG279,20725,2010-05-07,180,273.0,98628,98808.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG280,20725,2010-05-09,35,57.75,98593,98628.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG281,20725,2010-05-10,62,102.3,98531,98593.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG282,20725,2010-05-11,162,247.3,98369,98531.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG283,20725,2010-05-12,110,161.5,98259,98369.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG284,20725,2010-05-13,125,186.25,98134,98259.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG285,20725,2010-05-14,25,41.25,98109,98134.0
APARAT KEBAB-SHAORMA ELECTRIC 4 ARZATOARE KLG286,20725,2010-05-16,30,49.5,98079,98109.0
